type,product_internal_id,product_sku,product_name,product_price,product_compare_to_price,product_is_inventory_tracked,product_quantity,product_quantity_out_of_stock_behaviour,product_low_stock_notification_quantity,product_quantity_minimum_allowed_for_purchase,product_quantity_maximum_allowed_for_purchase,product_is_available,product_media_main_image_url,product_media_main_image_alt,product_media_gallery_image_url_1,product_media_gallery_image_alt_1,product_media_gallery_image_url_2,product_media_gallery_image_alt_2,product_media_gallery_image_url_3,product_media_gallery_image_alt_3,product_media_gallery_image_url_4,product_media_gallery_image_alt_4,product_media_gallery_image_url_5,product_media_gallery_image_alt_5,product_media_gallery_image_url_6,product_media_gallery_image_alt_6,product_media_gallery_image_url_7,product_media_gallery_image_alt_7,product_media_gallery_image_url_8,product_media_gallery_image_alt_8,product_media_gallery_image_url_9,product_media_gallery_image_alt_9,product_media_gallery_image_url_10,product_media_gallery_image_alt_10,product_media_gallery_image_url_11,product_media_gallery_image_alt_11,product_media_gallery_image_url_12,product_media_gallery_image_alt_12,product_description,product_category_1,product_category_2,product_category_3,product_category_4,product_category_5,product_category_6,product_category_7,product_is_featured,product_is_featured_order_by,product_price_per_unit,product_units_in_product,product_brand,product_upc,product_ribbon_text,product_ribbon_color,product_subtitle,product_weight,product_is_shipping_required,product_length,product_width,product_height,product_shipping_preparation_time_for_shipping_in_days,product_shipping_preparation_time_for_pickup_in_minutes,product_shipping_preparation_time_for_local_delivery_in_minutes,product_shipping_preparation_time_for_preorders_in_days,product_shipping_show_delivery_date_on_the_product_page,product_shipping_type,product_shipping_fixed_rate,product_shipping_method_markup,product_shipping_white_list,product_shipping_black_list,product_tax_class_code,product_seo_title,product_seo_description,product_related_item_ids,product_related_item_skus,product_related_items_random,product_related_items_random_category,product_related_items_random_number_of_items,product_custom_price_enabled,product_is_review_collection_enabled,product_google_product_category_code,product_option_name,product_option_type,product_option_is_required,product_option_value,product_option_markup,product_option_is_default_option_selection,product_option_swatch_hex_value,product_option_swatch_image,product_option_swatch_selector_is_image,category_internal_id,category_path,category_is_available,category_description,category_seo_title,category_seo_description,category_image,category_image_alt,category_order_by,source_store_id,url,custom_url_slug
product,763575958,,120 Watt Foldable Solar Panel,99.00,,false,0,SHOW,1,,,false,https://d2j6dbq0eux0bg.cloudfront.net/images/108569855/5015530440.png,,https://d2j6dbq0eux0bg.cloudfront.net/images/108569855/5015531892.png,,https://d2j6dbq0eux0bg.cloudfront.net/images/108569855/5015528679.png,,https://d2j6dbq0eux0bg.cloudfront.net/images/108569855/5015528684.png,,https://d2j6dbq0eux0bg.cloudfront.net/images/108569855/5015542520.png,,https://d2j6dbq0eux0bg.cloudfront.net/images/108569855/5015531932.png,,,,,,,,,,,,,,,,"<p>120 Watt Foldable Portable Solar Panel | Monocrystalline Efficiency 23%, USB-A, USB-C, DC18V DC Output | Suitable for Mobile Phones, Speakers, Fans, Tablets, Power Banks, Beach, Camping, Hiking</p><p><strong>*Listen to your Bluetooth speaker all day on the beach while enjoying a fully charged phone and USB power fan to keep you cool. All powered by our 120-Watt Foldable Portable Solar Panel</strong><strong>*</strong></p>",Water Taxi & Private Excursions,,,,,,,true,25,,,,,,#FE9800,,0.0,true,0.0,0.0,0.0,,,,,false,GLOBAL_METHODS,0.00,0.00,,,default,120 Watt Foldable Solar Panel,"120 Watt Foldable Portable Solar Panel | Monocrystalline Efficiency 23%, USB-A, USB-C, DC18V DC Output | Suitable for Mobile Phones, Speakers, Fans, Tablets, Power Banks, Beach, Camping, Hiking *Listen to your Bluetooth speaker all day on the beach while enjoying a fully charged phone and USB power…",762755072,,true,,5,false,true,,,,,,,,,,,,,,,,,,,,108569855,https://www.shopculebra.com/products/120-watt-foldable-solar-panel,
product,811019905,,3 Pieces of Fried Chicken,12.00,,false,0,,1,,,false,https://d2j6dbq0eux0bg.cloudfront.net/images/108569855/products/811019905/5537769600.png,,,,,,,,,,,,,,,,,,,,,,,,,,"<p><br></p><p>3 Pieces of Fried Chicken, fried to crispy perfection, served with a signature house sauce</p><p><br></p><p>All Chicken, Beef, Pork, and Seafood Platters Include Fried rice or Steamed Rice and French Fries.</p>","Food Delivery - Culebra, PR","Order Food for Delivery - Culebra, PR",Food Delivery Options,,,,,false,,,,,,,,,0.0,true,0.0,0.0,0.0,,,,,false,GLOBAL_METHODS,0.00,0.00,,,default,3 Pieces of Fried Chicken,"3 Pieces of Fried Chicken, fried to crispy perfection, served with a signature house sauce All Chicken, Beef, Pork, and Seafood Platters Include Fried rice or Steamed Rice and French Fries.",,,false,,5,false,true,,,,,,,,,,,,,,,,,,,,108569855,https://www.shopculebra.com/products/3-pieces-of-fried-chicken,
product,778660918,,"4-Hour Electric Bike Rental - Explore San Juan, PR  with Ease!",30.00,,true,2,,1,,,false,https://d2j6dbq0eux0bg.cloudfront.net/images/108569855/5144687478.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,"Rent our high-performance electric bike for a fun 4-hour adventure! Perfect for sightseeing, commuting, or just cruising around town. Our ebikes feature powerful motors, long battery life (up to 30 miles per charge), comfortable seating, and safety features like LED lights and disc brakes. <p> </p><p><br></p>",Glamping in Culebra,,,,,,,false,,,,,,,,,,false,0.0,0.0,0.0,,,,,false,GLOBAL_METHODS,0.00,0.00,,,default,"4-Hour Electric Bike Rental - Explore San Juan, PR  with Ease!","Rent our high-performance electric bike for a fun 4-hour adventure! Perfect for sightseeing, commuting, or just cruising around town. Our ebikes feature powerful motors, long battery life (up to 30 miles per charge), comfortable seating, and safety features like LED lights and disc brakes.",,,false,,5,false,true,,,,,,,,,,,,,,,,,,,,108569855,https://www.shopculebra.com/products/4-hour-electric-bike-rental-explore-san-juan-pr-with-ease,
product_option,778660918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ebike Rental Type,RADIOBUTTONS,true,1-Person Ebike - 4 Hour Rental,30.00,false,,,,,,,,,,,,,108569855,,
product_option,778660918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ebike Rental Type,RADIOBUTTONS,true,2-Person eBike - 4 Hour Rental,36.00,false,,,,,,,,,,,,,108569855,,
product,762381933,,Aluminum Foil,7.99,,false,0,SHOW,1,,,false,https://d2j6dbq0eux0bg.cloudfront.net/images/108569855/5004956053.png,,,,,,,,,,,,,,,,,,,,,,,,,,,Grocery Delivery | Shop Culebra / Cookout BBQ Package,Grocery Delivery | Shop Culebra,Water Taxi & Private Excursions,Grocery Delivery | Shop Culebra / Lunch \/ Beach Package,Cabana Grocery Preparation,Glamping in Culebra,,false,,,,,,,#FE9800,,0.0,true,0.0,0.0,0.0,,,,,false,GLOBAL_METHODS,0.00,0.00,,,default,Aluminum Foil,,,,false,,5,false,true,,,,,,,,,,,,,,,,,,,,108569855,https://www.shopculebra.com/products/aluminum-foil,
product,762220322,,Artisan Charcuterie Board,19.99,,false,0,SHOW,1,,,false,https://d2j6dbq0eux0bg.cloudfront.net/images/108569855/5003652156.png,,,,,,,,,,,,,,,,,,,,,,,,,,,Grocery Delivery | Shop Culebra / Lunch \/ Beach Package,Grocery Delivery | Shop Culebra,Water Taxi & Private Excursions,Grocery Delivery | Shop Culebra / Cookout BBQ Package,Grocery Delivery | Shop Culebra / Breakfast Package,Cabana Grocery Preparation,"Food Delivery - Culebra, PR",true,9,,,,,,#FE9800,,0.0,true,0.0,0.0,0.0,,,,,false,GLOBAL_METHODS,0.00,0.00,,,default,Artisan Charcuterie Board,,,,false,,5,false,true,,,,,,,,,,,,,,,,,,,,108569855,https://www.shopculebra.com/products/artisan-charcuterie-board,
product,762204038,,Bacon - 12 oz pack,8.99,,false,0,SHOW,1,,,false,https://d2j6dbq0eux0bg.cloudfront.net/images/108569855/5003408134.png,,,,,,,,,,,,,,,,,,,,,,,,,,,Grocery Delivery | Shop Culebra / Cookout BBQ Package,Grocery Delivery | Shop Culebra,Grocery Delivery | Shop Culebra / Breakfast Package,,,,,false,,,,,,,#FE9800,,0.0,true,0.0,0.0,0.0,,,,,false,GLOBAL_METHODS,0.00,0.00,,,default,Bacon - 12 oz pack,,,,true,Grocery Delivery | Shop Culebra / Cookout BBQ Package,5,false,true,,,,,,,,,,,,,,,,,,,,108569855,https://www.shopculebra.com/products/bacon-12-oz-pack,
product_option,762204038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bacon Type,RADIOBUTTONS,true,Oscar Mayer Bacon,0.00,false,,,,,,,,,,,,,108569855,,
product_option,762204038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bacon Type,RADIOBUTTONS,true,Premium Cut Bacon,3.00,false,,,,,,,,,,,,,108569855,,
product,763062606,,Bagel & Cream Cheese,5.99,,false,0,SHOW,1,,,false,https://d2j6dbq0eux0bg.cloudfront.net/images/108569855/5011662226.png,,,,,,,,,,,,,,,,,,,,,,,,,,<p>Toasted bagel with plain cream cheese.</p><div></div>,Grocery Delivery | Shop Culebra / Lunch \/ Beach Package,Grocery Delivery | Shop Culebra,Water Taxi & Private Excursions,Grocery Delivery | Shop Culebra / Breakfast Package,Cabana Grocery Preparation,"Food Delivery - Culebra, PR",,true,1,,,,,,#FE9800,,0.0,true,0.0,0.0,0.0,,,,,false,GLOBAL_METHODS,0.00,0.00,,,default,Bagel & Cream Cheese,Toasted bagel with plain cream cheese.,,,false,,5,false,true,,,,,,,,,,,,,,,,,,,,108569855,https://www.shopculebra.com/products/bagel--cream-cheese,
